id,stats_id,cbs_id,fleaflicker_id,nfl_id,espn_id,fftoday_id,numfire_id,fantasypro_id,fantasydata_id,fantasynerd_id,rts_id,fantasypro_num_id,gsis_id,sleeper_id
10432,24991,1130615,7502,2495288,14085,12058,virgil-green,virgil-green,13016,1463,13755,10026,00-0028142,868
10457,25020,1631775,7503,2495481,14185,12087,lawrence-guy,lawrence-guy,14743,,,10051,00-0028171,1288
10458,25021,1823811,7497,2499275,14141,12088,andrew-gachkar,andrew-gachkar,13083,,,,00-0028172,892
10465,25029,1823894,7586,2499278,14214,12096,malcolm-smith,malcolm-smith,13480,,,10059,00-0028180,997
10486,25228,1265473,8256,2495247,14461,12147,ian-williams,ian-williams,13457,,,,00-0028241,987
10487,25648,1117835,8288,2495150,14816,15001,kai-forbath,kai-forbath,14740,1687,13893,10081,00-0028787,1287
10488,25509,1243115,7777,2495164,14262,12139,mark-herzlich,mark-herzlich,13140,,,,00-0028620,909
10498,25171,1117814,7951,2495425,14353,12146,scott-tolzien,scott-tolzien,13103,1490,13832,,00-0028595,896
10500,25681,1631107,8350,2531332,14851,12109,terrelle-pryor,terrelle-pryor,13693,1696,13851,,00-0028825,1020
10506,25427,1689664,8027,2495259,14322,12149,dan-bailey,dan-bailey,13109,1685,13827,10970,00-0028660,899
10514,25295,1244136,7727,2495262,14471,12169,nick-bellore,nick-bellore,12787,3779,,10978,00-0028292,815
10516,24436,1683110,7145,2528181,13662,12144,bryan-walters,bryan-walters,13595,1354,13856,,00-0027595,1009
10527,25105,1244486,7869,2530747,14221,12173,doug-baldwin,doug-baldwin,13460,1549,13859,,00-0028434,988
10529,25508,1854817,8065,2530855,14648,12141,spencer-paysinger,spencer-paysinger,13147,,,,00-0028368,911
10530,25117,1252130,7787,2530690,14255,12232,dujuan-harris,dujuan-harris,12985,1511,13847,,00-0028409,863
10540,24778,1109438,3972,2506779,10001,8255,tom-johnson,tom-johnson,13664,,,,00-0024030,1017
10541,25275,1891893,8086,2530658,14466,12137,isa-abdul-quddus,isa-abdul-quddus,13330,,,,00-0028564,955
10542,25519,1853776,8148,2530666,14524,12126,bryan-braman,bryan-braman,12935,,,,00-0028536,850
10549,24358,1125328,7015,496814,13851,12112,albert-mcclellan,albert-mcclellan,13520,,,,00-0027560,1000
10551,24431,556966,6845,2508020,13538,12153,richie-brockel,richie-brockel,13653,1357,13904,,00-0027583,1014
10554,25147,1853150,7753,2530474,14320,12116,mario-addison,mario-addison,13181,,,11019,00-0028339,922
10560,24451,1116194,7134,2508016,13860,12157,mitch-unrein,mitch-unrein,13576,,,,00-0027573,1006
10585,25510,1854818,8068,2530868,14673,,justin-trattou,justin-trattou,13153,,,,00-0028495,912
10592,25189,1853171,7982,2530510,14398,12156,chris-harris,chris-harris,13018,,,11039,00-0028224,869
10601,24774,1803774,7348,2508097,13958,12194,andrew-hawkins,andrew-hawkins,12847,1385,13885,,00-0027918,831
10610,25090,1891920,7883,2530794,14297,12197,ron-parker,ron-parker,13476,,,,00-0028445,995
10626,25401,1857552,8264,2531177,14802,12207,sterling-moore,sterling-moore,13070,,,,00-0028767,888
10632,25088,1116974,7758,2531031,14231,12209,corbin-bryant,corbin-bryant,12890,,,,00-0028707,840
