Rank,Player ID,Player Name,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
105,13348,"Moore, David",CAR,WR,37.9,6.0,19.0,183.0,1.6,1.3,0.3,0.0,0.0,0.0,0.0,0.7,0.4,0.1,0.1,0.0,0.0,0.0,0.0,4.4,27.8
106,14108,"Dortch, Greg",DET,WR,28.3,8.6,17.9,154.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,10.0,0.6,294.0,0.0,5.6,27.0
107,17078,"Bech, Jack",LVR,WR,39.9,5.3,23.2,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.5,0.2,0.1,3.0,0.0,17.0,0.0,1.6,26.7
108,17503,"Bernard, Germie",PIT,WR,35.8,3.6,19.3,244.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.5,0.2,0.1,0.0,0.0,52.0,0.0,2.4,26.5
109,17076,"Bond, Isaiah",CLE,WR,43.4,3.5,15.3,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.5,0.2,0.1,24.0,0.0,29.0,0.0,3.8,26.1
110,17074,"Hunter, Travis",JAC,WR,41.1,3.6,22.2,232.0,0.4,0.3,0.0,0.0,0.1,0.0,0.0,0.9,0.5,0.2,0.1,2.0,0.0,64.0,0.0,2.5,25.8
111,17502,"Cooper Jr., Omar",NYJ,WR,49.6,4.4,21.5,209.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.1,0.1,6.0,0.0,24.0,0.3,1.6,25.0
112,16428,"Smith, Xavier",LAR,WR,27.7,3.6,16.3,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.2,0.1,0.0,0.0,112.0,0.0,1.4,24.5
113,14592,"Zaccheaus, Olamide",ATL,WR,42.0,7.0,22.7,184.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.1,0.1,12.0,0.0,124.0,0.0,2.7,24.2
114,17096,"Williams, Savion",GBP,WR,23.8,3.8,14.4,149.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,26.0,0.0,396.0,0.2,3.4,24.0
115,16630,"Williams, Isaiah",NYJ,WR,32.1,1.1,21.5,182.0,0.6,0.0,0.3,0.3,0.0,0.0,0.0,0.7,0.4,0.1,0.1,20.0,0.0,825.0,0.0,0.6,24.0
116,16195,"Wicks, Dontayvion",PHI,WR,41.5,3.3,25.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.5,0.2,0.1,0.0,0.0,56.0,0.0,2.7,23.2
117,13633,"Kirk, Christian",SFO,WR,41.8,2.8,22.5,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.4,0.1,0.1,3.0,0.0,55.0,0.0,2.5,22.7
118,17500,"Boston, Denzel",CLE,WR,38.6,3.4,19.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.4,0.1,0.1,9.0,0.0,78.0,0.3,1.4,22.7
