Rank,Player ID,Player Name,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
91,15925,"FitzPatrick, John",GBP,TE,14.6,3.1,10.7,66.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.2,9.7
92,16979,"Grandy, Cam",CIN,TE,17.0,1.6,12.4,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,3.0,0.0,0.0,0.0,0.8,9.2
93,17544,"Stowers, Eli",PHI,TE,15.2,1.1,11.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,7.8
94,12955,"Manhertz, Chris",NYG,TE,8.0,1.8,5.1,55.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.8,7.5
95,15419,"Granson, Kylen",TEN,TE,22.5,2.9,9.1,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.1,6.7
96,14984,"Woerner, Charlie",ATL,TE,15.1,1.2,10.3,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
97,13994,"Brown, Pharaoh",ARI,TE,15.4,3.1,10.2,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.6
98,17375,"Mitchell-Paden, Zaire",NOS,TE,7.4,0.0,5.1,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,11.0,0.0,0.0,0.4,0.8,4.8
99,13315,"Saubert, Eric",SEA,TE,9.2,5.0,6.6,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.6,4.2
100,17285,"Yurosek, Ben",MIN,TE,5.6,0.6,4.9,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1
101,17547,"Klare, Max",LAR,TE,6.6,1.7,4.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.7,4.0
102,17655,"Traore, Seydou",MIA,TE,10.1,0.5,5.6,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.0
103,17644,"Koziol, Tanner",JAC,TE,7.4,0.6,3.9,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.4
104,16646,"Bell, Jaheim",PIT,TE,3.2,0.3,0.7,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.3,3.2
105,13940,"Mundt, Johnny",PHI,TE,5.8,0.0,3.1,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1
106,16796,"Culp, Devin",TBB,TE,2.2,1.0,1.7,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.9
107,17567,"Delp, Oscar",NOS,TE,6.9,0.0,4.3,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,4.0,0.0,0.0,0.6,0.0,2.9
108,17549,"Roush, Sam",CHI,TE,9.9,2.1,3.4,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,2.0,0.0,0.0,0.0,1.5,2.9
109,16447,"Vokolek, Travis",ARI,TE,9.3,0.7,4.7,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8
110,17259,"Matavao, Moliki",NOS,TE,7.8,0.0,0.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,2.6,2.7
111,17566,"Royer, Joe",CLE,TE,8.2,0.6,1.4,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6
112,17548,"Joly, Justin",DEN,TE,11.9,0.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.9
113,17641,"Bredeson, Max",MIN,TE,3.1,0.8,2.3,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8
114,16483,"Sims, Ben",MIA,TE,2.4,0.4,1.3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.5
