Rank,Player ID,Player Name,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
70,17477,"Coleman, Jonah",DEN,RB,65.1,202.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.4,27.8,3.9,16.1,128.0,0.0,0.5,0.3,202.0,0.5,8.8,35.6
71,17069,"Blue, Jaydon",DAL,RB,67.6,241.0,1.1,0.0,1.1,0.0,0.0,0.0,0.0,1.0,0.5,7.9,0.0,5.7,42.0,0.0,0.2,0.1,56.0,0.0,4.7,35.1
72,16597,"Brooks, Jonathon",CAR,RB,73.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.5,23.0,6.3,18.6,112.0,0.0,0.4,0.2,186.0,1.5,5.6,34.9
73,16390,"McLaughlin, Jaleel",DEN,RB,52.9,214.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.9,0.4,11.6,1.0,7.2,28.0,0.0,0.1,0.1,59.0,0.0,5.1,34.0
74,11367,"Juszczyk, Kyle",SFO,RB,3.2,-6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,6.6,23.1,204.0,2.1,0.8,0.4,0.0,0.0,4.5,32.5
75,13143,"McNichols, Jeremy",WAS,RB,28.2,134.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.3,27.1,1.8,21.0,158.0,0.0,0.6,0.3,13.0,0.0,3.7,32.0
76,17059,"Gordon, Ollie",MIA,RB,49.0,146.0,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.6,0.3,8.3,1.2,7.0,35.0,0.6,0.1,0.1,26.0,0.6,6.5,31.9
77,16594,"Benson, Trey",ARI,RB,42.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.5,16.3,2.4,12.6,66.0,0.0,0.3,0.1,32.0,0.0,1.3,29.9
78,16385,"Demercado, Emari",KCC,RB,43.8,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,15.5,2.1,9.5,74.0,0.7,0.3,0.1,185.0,0.5,3.8,29.6
79,17046,"Neal, Devin",NOS,RB,41.6,137.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.5,0.3,14.8,0.4,11.7,87.0,0.0,0.3,0.2,132.0,0.0,2.1,28.1
80,17062,"Sanders, Raheim",CLE,RB,54.3,193.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.8,0.4,13.2,1.4,8.4,48.0,0.0,0.2,0.1,171.0,0.0,7.4,28.0
81,17485,"Black, Kaelon",SFO,RB,49.9,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,16.8,3.9,11.1,78.0,0.0,0.3,0.2,225.0,0.0,2.3,27.9
82,17049,"Smith, Brashard",KCC,RB,26.4,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,24.3,4.3,17.3,109.0,1.0,0.4,0.2,286.0,0.0,5.7,26.7
83,16171,"Miller, Kendre",NOS,RB,52.7,187.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.7,0.4,8.5,0.0,7.3,56.0,0.0,0.2,0.1,501.0,0.0,0.5,25.8
84,16387,"Brooks, Chris",GBP,RB,37.3,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,16.6,2.3,12.5,90.0,0.0,0.4,0.2,28.0,0.9,3.1,23.6
85,16688,"Guerendo, Isaac",SFO,RB,31.9,131.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.3,9.5,0.0,8.3,83.0,0.0,0.3,0.2,185.0,0.0,1.7,23.4
86,17337,"Scott, Zavier",MIN,RB,39.9,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,15.1,4.0,12.3,83.0,0.2,0.3,0.2,32.0,1.0,4.4,21.3
87,16391,"Luepke, Hunter",DAL,RB,20.4,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,14.2,2.4,12.3,108.0,0.2,0.4,0.2,0.0,0.0,3.5,21.3
88,17060,"Giddens, DJ",IND,RB,31.6,118.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.2,12.8,2.3,9.6,55.0,0.2,0.2,0.1,262.0,0.0,3.4,20.7
89,16773,"Jordan, Jawhar",HOU,RB,51.4,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,10.0,1.6,5.8,31.0,0.0,0.1,0.1,124.0,0.0,2.8,20.0
90,15260,"Patterson, Jaret",LAC,RB,39.9,147.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.6,0.3,5.5,0.1,4.1,11.0,0.0,0.0,0.0,144.0,0.0,0.9,17.6
91,17478,"Allen, Kaytron",WAS,RB,42.2,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,8.2,0.7,5.8,21.0,0.0,0.1,0.0,179.0,0.0,4.1,17.2
92,16175,"Johnson, Roschon",CHI,RB,15.9,47.0,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.2,0.1,6.4,1.0,6.4,28.0,0.0,0.1,0.1,53.0,0.0,3.5,15.1
93,14319,"Beck, Andrew",NYJ,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.4,6.1,51.0,1.4,0.2,0.1,0.0,0.0,1.4,13.7
94,17061,"Allen, LeQuint",JAC,RB,18.8,76.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.2,10.0,2.3,8.1,46.0,0.0,0.2,0.1,463.0,0.0,1.0,13.4
95,16604,"Lloyd, MarShawn",GBP,RB,28.5,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,6.9,1.6,4.2,18.0,0.0,0.1,0.0,165.0,0.0,2.0,12.9
96,17481,"Claiborne, Demond",MIN,RB,35.3,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,7.8,0.9,6.0,31.0,0.0,0.1,0.1,127.0,0.7,2.3,12.6
97,12155,"Abdullah, Ameer",JAC,RB,11.7,53.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.1,4.8,0.4,4.5,38.0,0.0,0.2,0.1,133.0,0.0,2.2,12.4
98,16601,"Shipley, Will",PHI,RB,17.5,71.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.1,8.7,1.0,7.2,41.0,0.0,0.2,0.1,578.0,0.0,1.0,12.3
99,12447,"Mostert, Raheem",LVR,RB,21.2,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,10.7,0.9,10.7,65.0,0.0,0.3,0.1,550.0,0.0,0.9,11.8
100,16608,"Holani, George",SEA,RB,21.8,74.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.3,0.1,4.8,0.0,3.1,15.0,0.0,0.1,0.0,370.0,0.7,0.9,11.4
101,14223,"Mattison, Alexander",MIA,RB,25.3,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,10.6,1.3,7.9,53.0,0.0,0.2,0.1,0.0,0.0,0.7,10.9
